Region,Category,Technology,Type,Scenario,Year,Value,2025,2030,2035,2040,2045,2050
AT,Buildings,HLR_Hardcoal,TotalCapacity,TechnoFriendly_globalLimit,0.0194,0.0175,0.0136,0.0082,0.0041,0.0017,0.0004,
AT,Buildings,HLR_Direct_Electric,NewCapacity,TechnoFriendly_globalLimit,,0.226790263,,0.183693353,0.321198844,,,
AT,Buildings,HLR_Direct_Electric,ResidualCapacity,TechnoFriendly_globalLimit,0.5925,0.5333,0.4134,0.2481,0.1241,0.0497,0.01,
AT,Buildings,HLR_Direct_Electric,TotalCapacity,TechnoFriendly_globalLimit,0.5925,0.760090263,0.640190263,0.658583616,0.85578246,0.78138246,0.74168246,0.504892197
AT,Buildings,HLR_Heatpump_Aerial,NewCapacity,TechnoFriendly_globalLimit,,,0.70899682,2.427568148,0.052781569,,,
AT,Buildings,HLR_Heatpump_Aerial,TotalCapacity,TechnoFriendly_globalLimit,,,0.70899682,3.136564968,3.189346536,3.189346536,3.189346536,2.480349716
AT,Buildings,HLR_Heatpump_Ground,NewCapacity,TechnoFriendly_globalLimit,,,,,2.319741977,,,
AT,Buildings,HLR_Heatpump_Ground,TotalCapacity,TechnoFriendly_globalLimit,,,,,2.319741977,2.319741977,2.319741977,2.319741977
AT,Buildings,HLR_Oil_Boiler,ResidualCapacity,TechnoFriendly_globalLimit,1.4987,1.3489,1.0454,0.6273,0.3137,0.1255,0.0251,
AT,Buildings,HLR_Oil_Boiler,TotalCapacity,TechnoFriendly_globalLimit,1.4987,1.3489,1.0454,0.6273,0.3137,0.1255,0.0251,
AT,Buildings,HLR_H2_Boiler,NewCapacity,TechnoFriendly_globalLimit,,,,,,2.359492525,1.101342526,
AT,Buildings,HLR_H2_Boiler,TotalCapacity,TechnoFriendly_globalLimit,,,,,,2.359492525,3.460835051,3.460835051
AT,Transportation,FRT_Rail_Conv,ResidualCapacity,TechnoFriendly_globalLimit,42.257,31.6928,22.185,13.311,6.6555,2.6622,,
AT,Transportation,FRT_Rail_Conv,TotalCapacity,TechnoFriendly_globalLimit,42.257,31.6928,22.185,13.311,6.6555,2.6622,,
