Region,Category,Emission,Technology,Timeslice,Scenario,Year,Value,2025,2030,2035,2040,2045,2050
Rohan,Buildings,CO2,HLR_Gas_Boiler,Emissions,MiddleEarth_globalLimit,77.70311132,75.3177719,76.35135922,68.81771155,64.53333771,59.80299997,47.88439332,42.57893228
Rohan,Buildings,CO2,HLR_Gas_CHP,Emissions,MiddleEarth_globalLimit,,,,1.093741896,1.197330388,1.01038125,0.906193205,0.807392681
Rohan,Buildings,CO2,HLR_Hardcoal,Emissions,MiddleEarth_globalLimit,0.233709931,0.248963208,0.01119017,0.006683903,0.003318744,0.000665063,0.00013799,
Rohan,Buildings,CO2,HLR_Oil_Boiler,Emissions,MiddleEarth_globalLimit,22.02976137,11.64915599,0.903535384,0.489152168,0.181194624,0.061783906,0.012271109,
Rohan,Transportation,CO2,FRT_Rail_Conv,Emissions,MiddleEarth_globalLimit,1.146575401,0.91050947,1.019229446,0.487091477,0.246941549,0.09661097,,
Rohan,Transportation,CO2,FRT_Road_ICE,Emissions,MiddleEarth_globalLimit,69.80344693,72.37541942,64.16360083,37.86625446,10.50313091,3.325109607,,
Rohan,Transportation,CO2,FRT_Ship_Conv,Emissions,MiddleEarth_globalLimit,0.600522125,0.613178495,0.669402449,0.611770204,0.345921246,0.195811893,0.138395681,0.089655858
Rohan,Transportation,CO2,PSNG_Air_Conv,Emissions,MiddleEarth_globalLimit,4.613388968,4.387862577,0.440058848,0.375098056,0.24327489,0.058114032,,
Rohan,Transportation,CO2,PSNG_Rail_Conv,Emissions,MiddleEarth_globalLimit,1.654504402,1.219577708,0.899949283,0.591745029,0.2806795,0.111430257,,
Rohan,Transportation,CO2,PSNG_Road_ICE,Emissions,MiddleEarth_globalLimit,89.1562771,82.54573359,69.94717913,37.59176697,12.96601176,6.01825348,2.223308427,2.107197542
Rohan,Transportation,CO2,PSNG_Road_PHEV,Emissions,MiddleEarth_globalLimit,,,,3.701258125,5.981043019,7.639466829,6.422455729,6.450819222
Harad,Power,CO2,P_Coal_Hardcoal,Emissions,MiddleEarth_globalLimit,24.84783277,20.52095861,11.7333991,2.281943826,0.117396247,0.228392413,0.453568031,0.077047616
Harad,Power,CO2,P_Gas,Emissions,MiddleEarth_globalLimit,1.066398336,0.870263259,7.552161741,22.55165783,34.76745308,38.76729139,29.84937029,28.06216099
Harad,Power,CO2,P_Oil,Emissions,MiddleEarth_globalLimit,5.80483224,4.900542048,,,,,,
Harad,Power,CO2,HLI_Gas_CHP,Emissions,MiddleEarth_globalLimit,,4.814723833,9.739300687,9.601192929,11.17431141,11.28765215,10.99501525,10.27030701
Harad,Industry,CO2,HLI_Gas_Boiler,Emissions,MiddleEarth_globalLimit,12.7576144,7.143638682,2.626608485,2.591097006,1.297776628,1.317071601,1.719572562,1.351182304
Harad,Industry,CO2,HLI_Gas_CHP,Emissions,MiddleEarth_globalLimit,,4.814723833,9.739300687,9.601192929,11.17431141,11.28765215,10.99501525,10.27030701
Harad,Industry,CO2,HLI_Hardcoal,Emissions,MiddleEarth_globalLimit,0.000495403,,,,,,,
Harad,Industry,CO2,HLI_Oil_Boiler,Emissions,MiddleEarth_globalLimit,0.925968503,0.509136913,0.001854066,0.003682558,0.007313969,0.002906647,0.00058025,
Harad,Industry,CO2,HMI_Gas,Emissions,MiddleEarth_globalLimit,64.74781749,60.96686751,15.84475401,12.27202061,8.886584325,3.110439745,1.235966026,0.114709031
Harad,Industry,CO2,HMI_HardCoal,Emissions,MiddleEarth_globalLimit,0.03832845,0.016694451,,,,,,
Harad,Industry,CO2,HHI_BF_BOF,Emissions,MiddleEarth_globalLimit,38.56000617,33.67769728,30.21961524,21.3192563,7.955388641,2.956327796,0.640625315,
Harad,Industry,CO2,HHI_DRI_EAF,Emissions,MiddleEarth_globalLimit,,,0.147311958,0.085587759,0.041407041,0.016022768,0.006204424,
Harad,Buildings,CO2,HLR_Gas_Boiler,Emissions,MiddleEarth_globalLimit,91.38397493,88.52296935,81.04515798,74.54966509,63.81148531,40.44977289,34.031361,30.33856987
Harad,Buildings,CO2,HLR_Oil_Boiler,Emissions,MiddleEarth_globalLimit,8.061996221,1.99296891,0.215149111,0.128200733,0.063655225,0.025287069,0.00502632,
Harad,Transportation,CO2,FRT_Rail_Conv,Emissions,MiddleEarth_globalLimit,0.742812335,0.605852125,0.538461368,0.181970249,0.089169616,0.034948265,,
Harad,Transportation,CO2,FRT_Road_ICE,Emissions,MiddleEarth_globalLimit,55.19448701,57.30833038,50.61174142,29.96419803,8.293558028,2.629206591,,
Harad,Transportation,CO2,FRT_Ship_Conv,Emissions,MiddleEarth_globalLimit,0.106918007,0.112554036,0.128548847,0.094322396,0.027390152,0.011226028,0.002724629,0.003106268
Harad,Transportation,CO2,PSNG_Air_Conv,Emissions,MiddleEarth_globalLimit,3.658414967,3.47957266,0.622658354,0.289189985,0.25685021,0.125564265,,
