Region,Category,Technology,Type,Scenario,Year,Value,2025,2030,2035,2040,2045,2050
AT,Buildings,HLR_Gas_Boiler,TotalCapacity,SocietalCommitment_globalLimit,21.8238,19.6415,15.2222,9.1334,6.672058103,3.932058103,2.470758103,2.766450125
AT,Buildings,HLR_Biomass,NewCapacity,SocietalCommitment_globalLimit,,,,0.330655975,0.254116604,0.116490609,,
AT,Buildings,HLR_Biomass,ResidualCapacity,SocietalCommitment_globalLimit,2.0737,1.8664,1.4465,0.8679,0.434,0.1736,0.0348,
AT,Buildings,HLR_Biomass,TotalCapacity,SocietalCommitment_globalLimit,2.0737,1.8664,1.4465,1.198555975,1.018772579,0.874863188,0.736063188,0.701263188
AT,Buildings,HLR_Hardcoal,ResidualCapacity,SocietalCommitment_globalLimit,0.0194,0.0175,0.0136,0.0082,0.0041,0.0017,0.0004,
AT,Buildings,HLR_Hardcoal,TotalCapacity,SocietalCommitment_globalLimit,0.0194,0.0175,0.0136,0.0082,0.0041,0.0017,0.0004,
AT,Buildings,HLR_Direct_Electric,NewCapacity,SocietalCommitment_globalLimit,,0.163449408,,0.405745316,0.256977562,0.338640981,,
AT,Buildings,HLR_Direct_Electric,ResidualCapacity,SocietalCommitment_globalLimit,0.5925,0.5333,0.4134,0.2481,0.1241,0.0497,0.01,
AT,Buildings,HLR_Direct_Electric,TotalCapacity,SocietalCommitment_globalLimit,0.5925,0.696749408,0.576849408,0.817294724,0.950272286,1.214513266,1.174813266,1.001363859
AT,Buildings,HLR_Heatpump_Aerial,NewCapacity,SocietalCommitment_globalLimit,,2.382928898,1.883211282,,0.533359649,1.148914673,0.7374015,
AT,Buildings,HLR_Heatpump_Aerial,TotalCapacity,SocietalCommitment_globalLimit,,2.382928898,4.266140181,4.266140181,4.79949983,5.948414503,4.302887104,2.419675822
AT,Buildings,HLR_Heatpump_Ground,NewCapacity,SocietalCommitment_globalLimit,,,,1.675688686,0.696768813,0.533126677,,
AT,Buildings,HLR_Heatpump_Ground,TotalCapacity,SocietalCommitment_globalLimit,,,,1.675688686,2.372457499,2.905584177,2.905584177,2.905584177
