Scenario,Technology,2015,2020,2025,2030,2035,2040,2045,2050,Region
GradualDevelopment,Wind Offshore,0.12,0.12,0.12,0.1,164.36,328.52,328.52,328.52,IE
GradualDevelopment,Wind Onshore,5.6,7.45,30.49,61.57,67.36,66.81,66.79,63.46,IE
GradualDevelopment,Sum,28.23,27.0,42.61,70.11,236.16,399.83,403.15,403.16,IE
GradualDevelopment,Hydro,43.66,68.04,68.04,68.04,66.16,68.04,68.04,68.04,IT
GradualDevelopment,PV,18.56,18.56,60.87,88.34,128.82,187.19,189.78,190.55,IT
GradualDevelopment,Thermal,144.33,124.42,116.69,130.39,143.25,6.06,5.15,18.05,IT
GradualDevelopment,Wind Offshore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IT
GradualDevelopment,Wind Onshore,14.24,14.24,13.63,11.58,39.93,110.0,110.0,110.0,IT
GradualDevelopment,Sum,220.79,225.26,259.23,298.35,378.15,371.29,372.97,386.64,IT
GradualDevelopment,Hydro,2.875,2.875,2.875,2.87,2.87,2.87,2.87,2.87,LT
GradualDevelopment,PV,0.062,0.062,0.062,3.0,5.45,8.73,9.36,9.96,LT
GradualDevelopment,Thermal,2.209,1.938,3.081,1.78,0.25,0.21,0.18,0.15,LT
GradualDevelopment,Wind Offshore,0.0,0.0,0.0,0.0,0.0,6.77,7.67,7.67,LT
GradualDevelopment,Wind Onshore,0.81,0.81,1.383,6.08,7.97,11.58,11.58,11.0,LT
GradualDevelopment,Sum,5.954,5.684,7.4,13.72,16.54,30.15,31.66,31.66,LT
GradualDevelopment,Hydro,3.498,3.581,3.58,3.58,3.58,3.58,3.581,3.581,LU
GradualDevelopment,PV,0.106,0.106,0.6,1.48,2.24,3.91,3.924,3.924,LU
GradualDevelopment,Thermal,0.822,0.722,4.43,3.83,3.16,0.08,0.068,0.067,LU
GradualDevelopment,Wind Offshore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LU
GradualDevelopment,Wind Onshore,0.099,0.099,0.85,2.15,2.74,2.74,2.743,2.743,LU
GradualDevelopment,Sum,4.526,4.508,9.46,11.05,11.72,10.32,10.316,10.315,LU
GradualDevelopment,Hydro,3.05,5.89,6.04,9.04,9.04,8.94,8.89,8.94,LV
GradualDevelopment,PV,0.0,0.0,0.0,1.46,2.43,6.99,12.73,12.73,LV
GradualDevelopment,Thermal,2.82,2.49,6.32,0.44,0.38,0.32,0.27,0.23,LV
GradualDevelopment,Wind Offshore,0.0,0.0,0.0,0.0,2.2,12.39,26.07,26.07,LV
GradualDevelopment,Wind Onshore,0.2,0.2,0.18,0.16,0.14,0.14,0.14,0.14,LV
GradualDevelopment,Sum,6.07,8.58,12.55,11.1,14.18,28.78,48.11,48.11,LV
GradualDevelopment,Hydro,0.0,0.097,0.17,0.24,0.24,0.24,0.24,0.24,NL
GradualDevelopment,PV,1.1,1.1,9.43,23.8,36.43,50.16,50.46,51.7,NL
GradualDevelopment,Thermal,81.18,70.854,75.77,92.88,52.33,2.74,2.33,11.86,NL
GradualDevelopment,Wind Offshore,1.34,1.34,1.25,1.25,36.0,131.86,153.2,155.45,NL
GradualDevelopment,Wind Onshore,4.47,4.466,14.52,24.41,23.89,23.46,23.46,20.31,NL
GradualDevelopment,Sum,88.09,77.858,101.14,142.58,148.9,208.46,229.68,239.56,NL
GradualDevelopment,Hydro,15.04,15.04,15.04,15.045,15.045,15.045,15.0446,15.0446,NO1
GradualDevelopment,PV,0.0,0.0,0.42,1.61,2.387,3.826,3.828,3.828,NO1
GradualDevelopment,Thermal,0.14,0.12,0.55,0.016,0.013,0.011,0.0097,0.0097,NO1
GradualDevelopment,Wind Offshore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO1
GradualDevelopment,Wind Onshore,0.4,0.4,4.56,9.125,9.125,9.125,9.1253,9.1253,NO1
GradualDevelopment,Sum,15.58,15.57,20.57,25.796,26.57,28.008,28.0076,28.0076,NO1
GradualDevelopment,Hydro,32.48,35.55,35.55,35.555,35.55,35.555,35.55,35.555,NO2
GradualDevelopment,PV,0.0,0.0,0.4,1.525,2.25,3.702,3.7,3.702,NO2
GradualDevelopment,Thermal,0.72,0.63,2.85,0.082,0.07,0.059,0.05,0.043,NO2
GradualDevelopment,Wind Offshore,0.0,0.0,0.0,0.0,0.0,24.338,24.83,24.842,NO2
GradualDevelopment,Wind Onshore,2.47,2.47,4.86,8.595,8.6,8.022,7.54,7.535,NO2
