Region,Category,Technology,Type,Scenario,Year,Value,2025,2030,2035,2040,2045,2050
AT,Transportation,FRT_Rail_Electric,ResidualCapacity,DirectedTransition_globalLimit,98.5997,73.9498,51.7649,31.0589,15.5295,6.2118,,
AT,Transportation,FRT_Rail_Electric,TotalCapacity,DirectedTransition_globalLimit,98.5997,73.9498,51.7649,36.51580966,37.52537358,38.88022878,40.8781029,42.46551786
AT,Transportation,FRT_Road_BEV,NewCapacity,DirectedTransition_globalLimit,0.384023174,2.161501914,,,,,1.836345421,
AT,Transportation,FRT_Road_BEV,TotalCapacity,DirectedTransition_globalLimit,0.384023174,2.545525088,2.545525088,2.545525088,2.545525088,2.161501914,1.836345421,1.836345421
AT,Transportation,FRT_Road_H2,NewCapacity,DirectedTransition_globalLimit,,,4.06667046,11.26666953,13.64561619,0.148668503,0.1766091,4.680556606
AT,Transportation,FRT_Road_H2,TotalCapacity,DirectedTransition_globalLimit,,,4.06667046,15.33333999,28.97895617,29.12762468,29.30423378,29.91811992
AT,Transportation,FRT_Road_ICE,ResidualCapacity,DirectedTransition_globalLimit,169.9995,127.4996,89.2497,53.5498,26.7749,10.71,,
AT,Transportation,FRT_Road_ICE,TotalCapacity,DirectedTransition_globalLimit,169.9995,127.4996,89.2497,53.5498,26.7749,10.71,,
AT,Transportation,FRT_Road_PHEV,NewCapacity,DirectedTransition_globalLimit,,,6.759190305,,,,,
AT,Transportation,FRT_Road_PHEV,TotalCapacity,DirectedTransition_globalLimit,,,6.759190305,6.759190305,6.759190305,6.759190305,6.759190305,6.759190305
AT,Transportation,FRT_Ship_Bio,NewCapacity,DirectedTransition_globalLimit,,,,3.07501555,,,,
AT,Transportation,FRT_Ship_Bio,TotalCapacity,DirectedTransition_globalLimit,,,,3.07501555,3.07501555,3.07501555,3.07501555,3.07501555
AT,Transportation,FRT_Ship_Conv,ResidualCapacity,DirectedTransition_globalLimit,12.9524,9.7143,6.8,4.08,2.04,0.816,,
AT,Transportation,FRT_Ship_Conv,TotalCapacity,DirectedTransition_globalLimit,12.9524,9.7143,6.8,4.08,2.04,0.816,,
AT,Transportation,PSNG_Air_Conv,ResidualCapacity,DirectedTransition_globalLimit,16.6971,12.5228,8.766,5.2596,2.6298,1.0519,,
AT,Transportation,PSNG_Air_Conv,TotalCapacity,DirectedTransition_globalLimit,16.6971,12.5228,8.766,5.2596,2.6298,1.0519,,
AT,Transportation,PSNG_Air_H2,NewCapacity,DirectedTransition_globalLimit,,0.066976347,,2.413836241,,,,1.649646007
AT,Transportation,PSNG_Air_H2,TotalCapacity,DirectedTransition_globalLimit,,0.066976347,0.066976347,2.480812588,2.480812588,2.413836241,2.413836241,1.649646007
AT,Transportation,PSNG_Rail_Conv,ResidualCapacity,DirectedTransition_globalLimit,26.7154,20.0366,14.0256,8.4154,4.2077,1.6831,,
AT,Transportation,PSNG_Rail_Conv,TotalCapacity,DirectedTransition_globalLimit,26.7154,20.0366,14.0256,8.4154,4.2077,1.6831,,
AT,Transportation,PSNG_Rail_Electric,NewCapacity,DirectedTransition_globalLimit,,,,1.699188258,11.0243907,8.0492498,5.370335444,2.14795056
AT,Transportation,PSNG_Rail_Electric,ResidualCapacity,DirectedTransition_globalLimit,62.3359,46.7519,32.7263,19.6358,9.8179,3.9272,,
AT,Transportation,PSNG_Rail_Electric,TotalCapacity,DirectedTransition_globalLimit,62.3359,46.7519,32.7263,21.33498826,22.54147896,24.70002876,26.1431642,28.29111476
AT,Transportation,PSNG_Road_BEV,NewCapacity,DirectedTransition_globalLimit,,5.812649712,15.22426139,16.99208538,27.8075451,4.002821452,12.8380972,7.746003014
AT,Transportation,PSNG_Road_BEV,TotalCapacity,DirectedTransition_globalLimit,,5.812649712,21.0369111,38.02899649,65.83654159,64.02671333,61.64054914,52.39446677
AT,Transportation,PSNG_Road_H2,NewCapacity,DirectedTransition_globalLimit,,,,,,,,6.047396923
AT,Transportation,PSNG_Road_H2,TotalCapacity,DirectedTransition_globalLimit,,,,,,,,6.047396923
AT,Transportation,PSNG_Road_ICE,ResidualCapacity,DirectedTransition_globalLimit,450.8216,338.1162,236.6813,142.0088,71.0044,28.4018,,
AT,Transportation,PSNG_Road_ICE,TotalCapacity,DirectedTransition_globalLimit,450.8216,338.1162,236.6813,142.0088,71.0044,28.4018,,
AT,Transportation,PSNG_Road_PHEV,NewCapacity,DirectedTransition_globalLimit,,2.335740791,3.717361357,,,,,3.159757153
AT,Transportation,PSNG_Road_PHEV,TotalCapacity,DirectedTransition_globalLimit,,2.335740791,6.053102148,6.053102148,6.053102148,6.053102148,3.717361357,3.159757153
AT,Resources,Z_Import_Oil,NewCapacity,DirectedTransition_globalLimit,,,6.269189277,0.213030758,,,,
AT,Resources,Z_Import_Oil,TotalCapacity,DirectedTransition_globalLimit,,,6.269189277,0.213030758,,,,
AT,Resources,RES_Grass,NewCapacity,DirectedTransition_globalLimit,12.22378128,1.32805296,7.546897309,9.179296917,,65.74361697,,
AT,Resources,RES_Grass,TotalCapacity,DirectedTransition_globalLimit,12.22378128,13.55183424,21.09873155,30.27802847,30.27802847,96.02164544,96.02164544,96.02164544
AT,Resources,RES_Wood,NewCapacity,DirectedTransition_globalLimit,4.58391798,0.49801986,5.797095615,2.885908905,,58.25129172,,
AT,Resources,RES_Wood,TotalCapacity,DirectedTransition_globalLimit,4.58391798,5.08193784,10.87903346,13.76494236,13.76494236,72.01623408,72.01623408,72.01623408
AT,Resources,RES_Residues,NewCapacity,DirectedTransition_globalLimit,85.56646896,9.29637072,6.6748059,1.240590708,,174.2093919,,
AT,Resources,RES_Residues,TotalCapacity,DirectedTransition_globalLimit,85.56646896,94.86283968,101.5376456,102.7782363,102.7782363,276.9876281,276.9876281,276.9876281
AT,Resources,RES_Paper_Cardboard,NewCapacity,DirectedTransition_globalLimit,6.11189064,,6.78177864,,4.768513992,78.35946216,,
AT,Resources,RES_Paper_Cardboard,TotalCapacity,DirectedTransition_globalLimit,6.11189064,6.11189064,12.89366928,12.89366928,17.66218327,96.02164544,96.02164544,96.02164544
AT,Resources,RES_Roundwood,NewCapacity,DirectedTransition_globalLimit,,,,,46.36323109,131.8334246,,
