Region,Category,Technology,Mode,Fuel,Timeslice,Type,Unit,Scenario,2015,2020,2025,2030,2035,2040,2045,2050
DolAmroth,Power,P_Oil,1,Power,4400,Production,PJ,MiddleEarth_globalLimit,,0.482465697,,,,,,
DolAmroth,Power,P_Oil,1,Power,6352,Production,PJ,MiddleEarth_globalLimit,0.867468806,,,,,,,
DolAmroth,Power,P_Oil,1,Power,7816,Production,PJ,MiddleEarth_globalLimit,,0.647017151,,,,,,
DolAmroth,Power,RES_Hydro_Large,1,Power,8,Production,PJ,MiddleEarth_globalLimit,1.189603043,2.571804033,0.554688832,1.789047739,,,,
DolAmroth,Power,RES_Hydro_Large,1,Power,252,Production,PJ,MiddleEarth_globalLimit,3.835432779,6.62197105,6.065059392,6.572006109,5.587076613,4.502908271,6.030090548,0.097501947
DolAmroth,Power,RES_Hydro_Large,1,Power,496,Production,PJ,MiddleEarth_globalLimit,4.250535884,6.341206644,6.134359004,6.152385782,4.785220147,2.639140013,,
DolAmroth,Power,RES_Hydro_Large,1,Power,740,Production,PJ,MiddleEarth_globalLimit,3.742431378,5.782868336,5.662729034,6.073613065,6.032349322,5.819882199,4.605736597,1.643485996
DolAmroth,Power,RES_Hydro_Large,1,Power,984,Production,PJ,MiddleEarth_globalLimit,2.148284627,4.091657414,3.802510374,4.621748892,1.78953021,1.161115885,,
DolAmroth,Power,RES_Hydro_Large,1,Power,1228,Production,PJ,MiddleEarth_globalLimit,1.857096291,0.955669638,0.407182459,,0.854277384,1.50670561,1.431268136,1.08693653
DolAmroth,Power,RES_Hydro_Large,1,Power,1472,Production,PJ,MiddleEarth_globalLimit,3.633577932,3.881602678,5.259985169,4.58544149,2.702857511,1.76364386,1.835385295,3.14882901
DolAmroth,Power,RES_Hydro_Large,1,Power,1716,Production,PJ,MiddleEarth_globalLimit,3.960193472,6.817027569,6.007585516,4.859802709,4.797163782,4.172220578,2.61967063,3.71223421
DolAmroth,Power,RES_Hydro_Large,1,Power,1960,Production,PJ,MiddleEarth_globalLimit,4.356652165,5.753596402,6.064255931,5.295205728,4.547518416,4.918597886,4.059468221,1.839508193
DolAmroth,Power,RES_Hydro_Large,1,Power,2204,Production,PJ,MiddleEarth_globalLimit,2.451876235,2.824791101,4.2214001,3.871633595,,,,
